Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,542.500000,542.500000,519.039978,519.770020,519.770020,1058900000
2020-05-05,519.770020,531.010010,519.770020,523.820007,523.820007,899300000
2020-05-06,523.820007,525.380005,514.250000,516.359985,516.359985,1077600000
2020-05-08,516.359985,522.369995,514.719971,516.909973,516.909973,1524600000
2020-05-11,516.909973,527.739990,516.909973,519.969971,519.969971,1419500000
2020-05-12,519.969971,522.989990,511.489990,515.140015,515.140015,1124700000
2020-05-13,515.140015,515.140015,503.600006,509.350006,509.350006,986400000
2020-05-14,509.350006,511.059998,500.200012,503.170013,503.170013,1276500000
2020-05-15,503.170013,510.649994,500.200012,509.290009,509.290009,1123300000
2020-05-18,509.290009,513.989990,505.059998,513.549988,513.549988,920600000
2020-05-19,513.549988,523.789978,513.549988,516.700012,516.700012,1054000000
2020-05-20,516.700012,518.320007,508.279999,510.720001,510.720001,712000000
2020-05-26,510.720001,524.359985,507.899994,521.989990,521.989990,1195000000
2020-05-27,521.989990,522.429993,515.270020,520.330017,520.330017,1454100000
2020-05-28,520.330017,529.190002,517.630005,522.859985,522.859985,1917100000
2020-05-29,522.859985,530.359985,520.750000,528.969971,528.969971,3066900000
2020-06-02,528.969971,547.979980,528.609985,543.190002,543.190002,1870000000
2020-06-03,543.190002,555.669983,543.190002,553.830017,553.830017,2633700000
2020-06-04,553.830017,561.440002,548.080017,550.380005,550.380005,2440000000
2020-06-05,550.380005,552.960022,541.340027,551.239990,551.239990,1896300000
2020-06-08,551.239990,564.429993,551.239990,557.830017,557.830017,2114500000
2020-06-09,557.830017,567.729980,552.450012,552.450012,552.450012,1966700000
2020-06-10,552.450012,555.049988,537.840027,539.940002,539.940002,1891100000
2020-06-11,539.940002,544.320007,528.559998,535.010010,535.010010,1390400000
2020-06-12,535.010010,535.320007,515.500000,534.400024,534.400024,1645300000
2020-06-15,534.400024,542.030029,530.080017,533.159973,533.159973,1378100000
2020-06-16,533.159973,552.960022,533.159973,551.770020,551.770020,1613900000
2020-06-17,551.770020,555.770020,549.219971,554.099976,554.099976,1421300000
2020-06-18,554.099976,555.229980,543.830017,543.830017,543.830017,1415700000
2020-06-19,543.830017,551.190002,543.830017,547.659973,547.659973,1251900000
2020-06-22,547.659973,549.609985,543.340027,546.010010,546.010010,1064700000
2020-06-23,546.010010,546.780029,537.349976,538.619995,538.619995,1160400000
2020-06-24,538.619995,547.090027,538.619995,545.369995,545.369995,1266800000
2020-06-25,545.369995,545.369995,534.320007,535.960022,535.960022,839000000
2020-06-26,535.960022,542.679993,535.960022,538.650024,538.650024,987000000
2020-06-29,538.650024,540.710022,532.520020,538.130005,538.130005,908100000
2020-06-30,538.130005,540.960022,533.799988,533.799988,533.799988,1217300000
2020-07-01,533.799988,536.510010,528.450012,532.039978,532.039978,883700000
2020-07-02,532.039978,544.000000,531.799988,544.000000,544.000000,1481600000
2020-07-03,544.000000,548.250000,542.789978,543.770020,543.770020,1298800000
2020-07-06,543.770020,548.940002,543.770020,545.890015,545.890015,1249500000
2020-07-07,545.890015,548.900024,544.859985,546.429993,546.429993,1326200000
2020-07-08,546.429993,554.369995,545.659973,554.010010,554.010010,1262500000
2020-07-09,554.010010,558.719971,549.669983,549.669983,549.669983,1437300000
2020-07-10,549.669983,551.739990,544.349976,544.500000,544.500000,849000000
2020-07-13,544.500000,552.359985,544.500000,551.380005,551.380005,1026900000
2020-07-14,551.380005,555.940002,551.039978,555.650024,555.650024,1003900000
2020-07-15,555.650024,561.900024,555.650024,556.750000,556.750000,1078400000
2020-07-16,556.750000,562.450012,556.750000,559.030029,559.030029,840500000
2020-07-17,559.030029,561.070007,555.739990,557.049988,557.049988,838200000
2020-07-20,557.049988,560.109985,550.469971,553.400024,553.400024,768200000
2020-07-21,553.400024,563.179993,552.820007,558.340027,558.340027,1524400000
2020-07-22,558.340027,563.669983,556.909973,558.409973,558.409973,1674000000
2020-07-23,558.409973,563.690002,558.239990,560.950012,560.950012,1695300000
2020-07-24,560.950012,561.809998,552.849976,553.270020,553.270020,1207500000
2020-07-27,553.270020,555.940002,549.950012,553.690002,553.690002,1080100000
2020-07-28,553.690002,555.570007,548.280029,551.309998,551.309998,1043900000
2020-07-29,551.309998,552.179993,547.349976,549.900024,549.900024,995000000
2020-07-30,549.900024,555.630005,548.669983,555.630005,555.630005,1644400000
2020-08-03,555.630005,558.090027,526.820007,539.250000,539.250000,1790200000
2020-08-04,539.250000,548.539978,539.250000,547.840027,547.840027,1328500000
2020-08-05,547.840027,559.250000,546.729980,558.539978,558.539978,1720000000
2020-08-06,558.539978,564.869995,558.539978,564.390015,564.390015,1841300000
2020-08-07,564.390015,566.679993,557.080017,560.630005,560.630005,1393400000
2020-08-10,560.630005,563.090027,557.979980,559.929993,559.929993,986700000
2020-08-11,559.929993,564.580017,559.820007,560.340027,560.340027,1430500000
2020-08-12,560.340027,561.969971,556.869995,561.969971,561.969971,1968600000
2020-08-13,561.969971,567.859985,561.739990,564.940002,564.940002,1190200000
2020-08-14,564.940002,566.750000,563.489990,564.919983,564.919983,1428600000
2020-08-18,564.919983,570.919983,564.109985,569.190002,569.190002,1800600000
2020-08-19,569.190002,571.340027,564.219971,564.400024,564.400024,1492600000
2020-08-24,564.400024,567.260010,561.840027,562.890015,562.890015,1080400000
2020-08-25,562.890015,568.510010,562.890015,567.280029,567.280029,1199300000
2020-08-26,567.280029,571.929993,566.840027,567.070007,567.070007,1059800000
2020-08-27,567.070007,569.190002,564.549988,567.780029,567.780029,1012900000
2020-08-28,567.780029,569.239990,564.580017,567.049988,567.049988,1388700000
2020-08-31,567.049988,569.780029,554.580017,556.669983,556.669983,1950700000
2020-09-01,556.669983,562.989990,554.580017,562.989990,562.989990,1113200000
2020-09-02,562.989990,567.809998,561.510010,563.299988,563.299988,1215100000
2020-09-03,563.299988,564.900024,554.539978,558.000000,558.000000,1014000000
2020-09-04,558.000000,558.000000,547.549988,554.239990,554.239990,1004600000
2020-09-07,553.989990,558.130005,550.690002,556.960022,556.960022,938600000
2020-09-08,556.880005,559.049988,554.799988,556.090027,556.090027,915800000
2020-09-09,551.219971,552.159973,542.739990,542.989990,542.989990,1290400000
2020-09-10,532.869995,532.869995,512.900024,515.770020,515.770020,1715100000
